Tablo 1
;;;;;;;;;;;;;;
ATM Term ID;ATM Adı;model;Nakit Merkezi;Planlı Hizmet Günleri;Zone;KM;PLANLI ATM NAKİT İKMAL;PLANLI FLM;SLM;PLANLI ATM MADENİ İKMAL;PLANLI ATM PARA TOPLAMA;PLANLI ATM PARA TOPLAMA + İKMAL;PLANLI ATM PARA TOPLAMA + FLM;
FD116;01 YUREGIR KOZAN CAD.;I37DC0C;ADANA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD237;52 ALTINORDU MEDICALPARK 2;H68V-824;ORDU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD395;34 GOP KARADENIZ M.AKIF 2;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD468;20 M.EFENDI ADLIYE KARS. 2;H68N-806;DENİZLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN205;06 YENIMAHALLE ACITY AVM;H68V-824;ANKARA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD388;09 INCIRLIOVA CUMHURIYET MH. 2;H68V-824;AYDIN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD624;34 KUCUKCEKMECE IBB SEFAKOY METROBUS;H68V-824;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD495;27 SEHITKAMIL KARACAOGLAN MH. 2;H68V-824;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS436;34 B.DUZU EKINOKS;I37DC0C;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD455;34 ESENYURT SAADETDERE TERMAL;H68V-824;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD713;01 YUREGIR YAVUZLAR MH.;H68V-824;ADANA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD685;47 KIZILTEPE HASTANE CAD.2;I37DC0C;DİYARBAKIR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;4;113;4.649,66 ;4.649,66 ;5.151,24 ;4.649,66 ;4.649,66 ;4.649,66 ;4.649,66 ;
FS341;34 B.DUZU WHITE CORNER AVM;I47DC0C;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD532;01 SARICAM MERKEZ 2;H68V-824;ADANA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD810;34 SANCAKTEPE DEVLET HASTANESI ONU;I37DC0C;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD682;47 KIZILTEPE HASTANE CAD.1;I37DC0C;DİYARBAKIR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;4;113;4.649,66 ;4.649,66 ;5.151,24 ;4.649,66 ;4.649,66 ;4.649,66 ;4.649,66 ;
FS448;27 S.KAMIL K.YAKA T.TELEKOM 1;I37DC0C;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD803;07 ALANYA TURKLER MAH.;I37DC0C;ALANYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;22;1.390,04 ;1.390,04 ;1.891,62 ;1.390,04 ;1.390,04 ;1.390,04 ;1.390,04 ;
FD900;34 SULTANGAZI ISMETPASA MH.;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD831;61 CAYKARA UZUNGOL;I37DC0C;TRABZON;ÇARŞAMBA;3;95;4.004,90 ;4.004,90 ;4.506,48 ;4.004,90 ;4.004,90 ;4.004,90 ;4.004,90 ;
FS367;52 ALTINORDU MEDICALPARK 1;I37DC0C;ORDU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI786;34 CEKMEKOY SILEYOLU BP;I37DC0C;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI572;34 KADIKOY BAYAR CD;I37DC0C;KOZYATAĞI;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI096;06 KECIOREN OSMANLI;I37DC0C;ANKARA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD816;34 BAGCILAR ORUC REIS METRO CIKISI;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS199;09 EFELER GIRNE MH. MIGROS;H68VL-824;AYDIN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC968;07 MURATPASA KIZILTOPRAK T.TELEKOM;I37DC0C;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI478;34 BAGCILAR KEMALPASA;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN181;21 BAGLAR N CITY AVM 1;I37DC0C;DİYARBAKIR;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS751;09 EFELER M.SINAN MH.;H68N-806;AYDIN;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI960;27 S.BEY ONUR MH.TOTAL 1;I37DC0C;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI958;27 S.BEY ONUR MH.TOTAL 2;I37DC0C;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN959;01 POZANTI MERKEZ;I37DC0C;ADANA;SALI - PERŞEMBE;3;100;4.184,00 ;4.184,00 ;4.685,58 ;4.184,00 ;4.184,00 ;4.184,00 ;4.184,00 ;
FS859;22 KESAN MERKEZ;H68V-824;EDİRNE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;3;108;4.470,56 ;4.470,56 ;4.972,14 ;4.470,56 ;4.470,56 ;4.470,56 ;4.470,56 ;
FS929;01 SEYHAN YESILEVLER 1;H68V-824;ADANA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN706;34 BAGCILAR GUNESLI METRO MARKET;I47DC0C;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS944;34 E.YURT AYTEMIZ 2;I37DC0C;BEYLİKDÜZÜ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD334;34 EYUPSULTAN WHITE HILL AVM 2;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD723;27 SEHITKAMIL EMEK MM MIGROS;H68V-824;GAZİANTEP;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI792;34 GOP 500EVLER POLIGON;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FN583;34 BAYRAMPASA FORUM;I47DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FI540;59 M.EREGLISI YENICIFTLIK MIGROS;H68V-824;ÇORLU;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;2;23;1.425,86 ;1.425,86 ;1.927,44 ;1.425,86 ;1.425,86 ;1.425,86 ;1.425,86 ;
FD046;34 BAHCELIEVLER SIRINEVLER MAH.;I37DC0C;GÜNEŞLİ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FS975;34 B.PASA B.EVLER BP 1;H68V-824;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC203;34 KARTAL HASTANE METRO;H68VL-824;MALTEPE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD457;16 YILDIRIM YUKSEK IHTISAS KAVSAGI;H68N-806;BURSA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA693;07 MURATPASA GUVENLIK MH;H68V-824;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC306;34 BAGCILAR MEYDAN;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FD260;34 CEKMEKOY ALEMDAG EMLAK KONUTLARI;H68V-824;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
